COUNTRIES,REGIONS,Years,Sales Value
SLOVENIA,EUROPE NEW MEMBERS,2008,71575
SLOVENIA,EUROPE NEW MEMBERS,2009,57967
SLOVENIA,EUROPE NEW MEMBERS,2010,61142
SLOVENIA,EUROPE NEW MEMBERS,2011,60193
SLOVENIA,EUROPE NEW MEMBERS,2012,50091
SLOVENIA,EUROPE NEW MEMBERS,2013,52268
SLOVENIA,EUROPE NEW MEMBERS,2014,53296
ALBANIA,"RUSSIA, TURKEY & OTHER EUROPE",2005,800
ALBANIA,"RUSSIA, TURKEY & OTHER EUROPE",2006,800
ALBANIA,"RUSSIA, TURKEY & OTHER EUROPE",2007,1600
ALBANIA,"RUSSIA, TURKEY & OTHER EUROPE",2008,1600
ALBANIA,"RUSSIA, TURKEY & OTHER EUROPE",2009,1000
ALBANIA,"RUSSIA, TURKEY & OTHER EUROPE",2010,1600
ALBANIA,"RUSSIA, TURKEY & OTHER EUROPE",2011,2100
ALBANIA,"RUSSIA, TURKEY & OTHER EUROPE",2012,2300
ALBANIA,"RUSSIA, TURKEY & OTHER EUROPE",2013,2300
ALBANIA,"RUSSIA, TURKEY & OTHER EUROPE",2014,2500
ARMENIA,"RUSSIA, TURKEY & OTHER EUROPE",2005,11000
ARMENIA,"RUSSIA, TURKEY & OTHER EUROPE",2006,12000
ARMENIA,"RUSSIA, TURKEY & OTHER EUROPE",2007,6000
ARMENIA,"RUSSIA, TURKEY & OTHER EUROPE",2008,4000
ARMENIA,"RUSSIA, TURKEY & OTHER EUROPE",2009,4000
ARMENIA,"RUSSIA, TURKEY & OTHER EUROPE",2010,4000
ARMENIA,"RUSSIA, TURKEY & OTHER EUROPE",2011,4000
ARMENIA,"RUSSIA, TURKEY & OTHER EUROPE",2012,5000
ARMENIA,"RUSSIA, TURKEY & OTHER EUROPE",2013,5000
ARMENIA,"RUSSIA, TURKEY & OTHER EUROPE",2014,5200
BELARUS,"RUSSIA, TURKEY & OTHER EUROPE",2005,9000
BELARUS,"RUSSIA, TURKEY & OTHER EUROPE",2006,13000
BELARUS,"RUSSIA, TURKEY & OTHER EUROPE",2007,20000
BELARUS,"RUSSIA, TURKEY & OTHER EUROPE",2008,22000
BELARUS,"RUSSIA, TURKEY & OTHER EUROPE",2009,12000
BELARUS,"RUSSIA, TURKEY & OTHER EUROPE",2010,15000
BELARUS,"RUSSIA, TURKEY & OTHER EUROPE",2011,15000
BELARUS,"RUSSIA, TURKEY & OTHER EUROPE",2012,20000
BELARUS,"RUSSIA, TURKEY & OTHER EUROPE",2013,19600
BELARUS,"RUSSIA, TURKEY & OTHER EUROPE",2014,22300
BOSNIA,"RUSSIA, TURKEY & OTHER EUROPE",2005,10000
BOSNIA,"RUSSIA, TURKEY & OTHER EUROPE",2006,10000
BOSNIA,"RUSSIA, TURKEY & OTHER EUROPE",2007,15000
BOSNIA,"RUSSIA, TURKEY & OTHER EUROPE",2008,13000
BOSNIA,"RUSSIA, TURKEY & OTHER EUROPE",2009,12000
BOSNIA,"RUSSIA, TURKEY & OTHER EUROPE",2010,10000
BOSNIA,"RUSSIA, TURKEY & OTHER EUROPE",2011,10000
BOSNIA,"RUSSIA, TURKEY & OTHER EUROPE",2012,10000
BOSNIA,"RUSSIA, TURKEY & OTHER EUROPE",2013,9800
BOSNIA,"RUSSIA, TURKEY & OTHER EUROPE",2014,8900
GEORGIA,"RUSSIA, TURKEY & OTHER EUROPE",2005,1500
GEORGIA,"RUSSIA, TURKEY & OTHER EUROPE",2006,2000
GEORGIA,"RUSSIA, TURKEY & OTHER EUROPE",2007,6000
GEORGIA,"RUSSIA, TURKEY & OTHER EUROPE",2008,8000
GEORGIA,"RUSSIA, TURKEY & OTHER EUROPE",2009,1000
GEORGIA,"RUSSIA, TURKEY & OTHER EUROPE",2010,4000
GEORGIA,"RUSSIA, TURKEY & OTHER EUROPE",2011,3000
GEORGIA,"RUSSIA, TURKEY & OTHER EUROPE",2012,4000
GEORGIA,"RUSSIA, TURKEY & OTHER EUROPE",2013,4000
GEORGIA,"RUSSIA, TURKEY & OTHER EUROPE",2014,4300
MACEDONIA,"RUSSIA, TURKEY & OTHER EUROPE",2005,9300
MACEDONIA,"RUSSIA, TURKEY & OTHER EUROPE",2006,10000
MACEDONIA,"RUSSIA, TURKEY & OTHER EUROPE",2007,10200
MACEDONIA,"RUSSIA, TURKEY & OTHER EUROPE",2008,10500
MACEDONIA,"RUSSIA, TURKEY & OTHER EUROPE",2009,6000
MACEDONIA,"RUSSIA, TURKEY & OTHER EUROPE",2010,8500
MACEDONIA,"RUSSIA, TURKEY & OTHER EUROPE",2011,8500
MACEDONIA,"RUSSIA, TURKEY & OTHER EUROPE",2012,5000
MACEDONIA,"RUSSIA, TURKEY & OTHER EUROPE",2013,2000
MACEDONIA,"RUSSIA, TURKEY & OTHER EUROPE",2014,2700
MOLDAVIA,"RUSSIA, TURKEY & OTHER EUROPE",2005,4000
MOLDAVIA,"RUSSIA, TURKEY & OTHER EUROPE",2006,5000
MOLDAVIA,"RUSSIA, TURKEY & OTHER EUROPE",2007,7000
MOLDAVIA,"RUSSIA, TURKEY & OTHER EUROPE",2008,11000
MOLDAVIA,"RUSSIA, TURKEY & OTHER EUROPE",2009,4000
MOLDAVIA,"RUSSIA, TURKEY & OTHER EUROPE",2010,5000
MOLDAVIA,"RUSSIA, TURKEY & OTHER EUROPE",2011,5500
MOLDAVIA,"RUSSIA, TURKEY & OTHER EUROPE",2012,5000
MOLDAVIA,"RUSSIA, TURKEY & OTHER EUROPE",2013,5000
MOLDAVIA,"RUSSIA, TURKEY & OTHER EUROPE",2014,5600
RUSSIA,"RUSSIA, TURKEY & OTHER EUROPE",2005,1520225
RUSSIA,"RUSSIA, TURKEY & OTHER EUROPE",2006,1911240
RUSSIA,"RUSSIA, TURKEY & OTHER EUROPE",2007,2514920
RUSSIA,"RUSSIA, TURKEY & OTHER EUROPE",2008,2897459
RUSSIA,"RUSSIA, TURKEY & OTHER EUROPE",2009,1465742
RUSSIA,"RUSSIA, TURKEY & OTHER EUROPE",2010,1912794
RUSSIA,"RUSSIA, TURKEY & OTHER EUROPE",2011,2653688
